n,x,monthly_payment,monthly_return,profit_after_yrs,5yrs,10yrs,20yrs,40yrs
2,0.6,1440.0,3898.46,0.74,199347.6,433255.2,901070.4,1836700.8
2,0.7,1680.0,3908.46,0.86,194187.6,428695.2,897710.4,1835740.8
2,0.7999999999999999,1919.9999999999998,3918.46,0.98,189027.6,424135.2,894350.4,1834780.8
2,0.8999999999999999,2160.0,3928.46,1.1,183867.6,419575.2,890990.4,1833820.8
2,0.9999999999999999,2399.9999999999995,3938.46,1.22,178707.6,415015.2,887630.4,1832860.8
2,1.0999999999999999,2639.9999999999995,3948.46,1.34,173547.6,410455.2,884270.4,1831900.8
2,1.2,2880.0,3958.46,1.46,168387.6,405895.2,880910.4,1830940.8
2,1.3,3120.0,3968.46,1.57,163227.6,401335.2,877550.4,1829980.8
2,1.4000000000000001,3360.0000000000005,3978.46,1.69,158067.6,396775.2,874190.4,1829020.8
2,1.5000000000000002,3600.0000000000005,3988.46,1.81,152907.6,392215.2,870830.4,1828060.8
2,1.6000000000000003,3840.000000000001,3998.46,1.92,147747.6,387655.2,867470.4,1827100.8
2,1.7000000000000004,4080.000000000001,4008.46,2.04,142587.6,383095.2,864110.4,1826140.8
2,1.8000000000000005,4320.000000000001,4018.46,2.15,137427.6,378535.2,860750.4,1825180.8
2,1.9000000000000006,4560.000000000002,4028.46,2.26,132267.6,373975.2,857390.4,1824220.8
2,2.0000000000000004,4800.000000000001,4038.46,2.38,127107.6,369415.2,854030.4,1823260.8
2,2.1000000000000005,5040.000000000001,4048.46,2.49,121947.6,364855.2,850670.4,1822300.8
2,2.2000000000000006,5280.000000000002,4058.46,2.6,116787.6,360295.2,847310.4,1821340.8
2,2.3000000000000007,5520.000000000002,4068.46,2.71,111627.6,355735.2,843950.4,1820380.8
2,2.400000000000001,5760.000000000002,4078.46,2.82,106467.6,351175.2,840590.4,1819420.8
2,2.500000000000001,6000.000000000002,4088.46,2.94,101307.6,346615.2,837230.4,1818460.8
2,2.600000000000001,6240.000000000003,4098.46,3.05,96147.6,342055.2,833870.4,1817500.8
2,2.700000000000001,6480.000000000003,4108.46,3.15,90987.6,337495.2,830510.4,1816540.8
2,2.800000000000001,6720.000000000003,4118.46,3.26,85827.6,332935.2,827150.4,1815580.8
2,2.9000000000000012,6960.000000000003,4128.46,3.37,80667.6,328375.2,823790.4,1814620.8
2,3.0000000000000013,7200.000000000004,4138.46,3.48,75507.6,323815.2,820430.4,1813660.8
2.08,0.6,1440.0,3909.23,0.77,198553.8,433107.6,902215.2,1840430.4
2.08,0.7,1680.0,3919.65,0.89,193179.0,428358.0,898716.0,1839432.0
2.08,0.7999999999999999,1919.9999999999998,3930.06,1.02,187803.6,423607.2,895214.4,1838428.8
2.08,0.8999999999999999,2160.0,3940.48,1.14,182428.8,418857.6,891715.2,1837430.4
2.08,0.9999999999999999,2399.9999999999995,3950.9,1.27,177054.0,414108.0,888216.0,1836432.0
2.08,1.0999999999999999,2639.9999999999995,3961.31,1.39,171678.6,409357.2,884714.4,1835428.8
2.08,1.2,2880.0,3971.73,1.51,166303.8,404607.6,881215.2,1834430.4
2.08,1.3,3120.0,3982.15,1.63,160929.0,399858.0,877716.0,1833432.0
2.08,1.4000000000000001,3360.0000000000005,3992.56,1.75,155553.6,395107.2,874214.4,1832428.8
2.08,1.5000000000000002,3600.0000000000005,4002.98,1.87,150178.8,390357.6,870715.2,1831430.4
2.08,1.6000000000000003,3840.000000000001,4013.4,1.99,144804.0,385608.0,867216.0,1830432.0
2.08,1.7000000000000004,4080.000000000001,4023.81,2.11,139428.6,380857.2,863714.4,1829428.8
2.08,1.8000000000000005,4320.000000000001,4034.23,2.23,134053.8,376107.6,860215.2,1828430.4
