n,x,monthly_payment,monthly_return,profit_after_yrs,5yrs,10yrs,20yrs,40yrs
2,0.6,1440.0,3898.46,0.74,199347.6,433255.2,901070.4,1836700.8
2,0.7,1680.0,3908.46,0.86,194187.6,428695.2,897710.4,1835740.8
2,0.7999999999999999,1919.9999999999998,3918.46,0.98,189027.6,424135.2,894350.4,1834780.8
2,0.8999999999999999,2160.0,3928.46,1.1,183867.6,419575.2,890990.4,1833820.8
2,0.9999999999999999,2399.9999999999995,3938.46,1.22,178707.6,415015.2,887630.4,1832860.8
2,1.0999999999999999,2639.9999999999995,3948.46,1.34,173547.6,410455.2,884270.4,1831900.8
2,1.2,2880.0,3958.46,1.46,168387.6,405895.2,880910.4,1830940.8
2,1.3,3120.0,3968.46,1.57,163227.6,401335.2,877550.4,1829980.8
2,1.4000000000000001,3360.0000000000005,3978.46,1.69,158067.6,396775.2,874190.4,1829020.8
2,1.5000000000000002,3600.0000000000005,3988.46,1.81,152907.6,392215.2,870830.4,1828060.8
2,1.6000000000000003,3840.000000000001,3998.46,1.92,147747.6,387655.2,867470.4,1827100.8
2,1.7000000000000004,4080.000000000001,4008.46,2.04,142587.6,383095.2,864110.4,1826140.8
2,1.8000000000000005,4320.000000000001,4018.46,2.15,137427.6,378535.2,860750.4,1825180.8
2,1.9000000000000006,4560.000000000002,4028.46,2.26,132267.6,373975.2,857390.4,1824220.8
2,2.0000000000000004,4800.000000000001,4038.46,2.38,127107.6,369415.2,854030.4,1823260.8
2,2.1000000000000005,5040.000000000001,4048.46,2.49,121947.6,364855.2,850670.4,1822300.8
2,2.2000000000000006,5280.000000000002,4058.46,2.6,116787.6,360295.2,847310.4,1821340.8
2,2.3000000000000007,5520.000000000002,4068.46,2.71,111627.6,355735.2,843950.4,1820380.8
2,2.400000000000001,5760.000000000002,4078.46,2.82,106467.6,351175.2,840590.4,1819420.8
2,2.500000000000001,6000.000000000002,4088.46,2.94,101307.6,346615.2,837230.4,1818460.8
2,2.600000000000001,6240.000000000003,4098.46,3.05,96147.6,342055.2,833870.4,1817500.8
2,2.700000000000001,6480.000000000003,4108.46,3.15,90987.6,337495.2,830510.4,1816540.8
2,2.800000000000001,6720.000000000003,4118.46,3.26,85827.6,332935.2,827150.4,1815580.8
2,2.9000000000000012,6960.000000000003,4128.46,3.37,80667.6,328375.2,823790.4,1814620.8
2,3.0000000000000013,7200.000000000004,4138.46,3.48,75507.6,323815.2,820430.4,1813660.8
3,0.6,1440.0,4027.69,1.07,189821.4,431482.8,914805.6,1881451.2
3,0.7,1680.0,4042.69,1.25,182081.4,424642.8,909765.6,1880011.2
3,0.7999999999999999,1919.9999999999998,4057.69,1.42,174341.4,417802.8,904725.6,1878571.2
3,0.8999999999999999,2160.0,4072.69,1.59,166601.4,410962.8,899685.6,1877131.2
3,0.9999999999999999,2399.9999999999995,4087.69,1.76,158861.4,404122.8,894645.6,1875691.2
3,1.0999999999999999,2639.9999999999995,4102.69,1.93,151121.4,397282.8,889605.6,1874251.2
3,1.2,2880.0,4117.69,2.1,143381.4,390442.8,884565.6,1872811.2
3,1.3,3120.0,4132.69,2.26,135641.4,383602.8,879525.6,1871371.2
3,1.4000000000000001,3360.0000000000005,4147.69,2.43,127901.4,376762.8,874485.6,1869931.2
3,1.5000000000000002,3600.0000000000005,4162.69,2.59,120161.4,369922.8,869445.6,1868491.2
3,1.6000000000000003,3840.000000000001,4177.69,2.76,112421.4,363082.8,864405.6,1867051.2
3,1.7000000000000004,4080.000000000001,4192.69,2.92,104681.4,356242.8,859365.6,1865611.2
3,1.8000000000000005,4320.000000000001,4207.69,3.08,96941.4,349402.8,854325.6,1864171.2
3,1.9000000000000006,4560.000000000002,4222.69,3.24,89201.4,342562.8,849285.6,1862731.2
